official_name	occurrences	name_type	capitalized_case
PHENYLEPHRINE HCL	9	generic	Phenylephrine Hcl
PHENYLEPHRINE HCL, BROMPHENIRAMINE MALEATE	18	generic	Phenylephrine Hcl, Brompheniramine Maleate
PHENYLEPHRINE HCL, WITCH HAZEL	9	generic	Phenylephrine Hcl, Witch Hazel
PHENYLEPHRINE HYDROCHLORIDE	1	brand	Phenylephrine Hydrochloride
PHENYLEPHRINE HYDROCHLORIDE AND COCOA BUTTER	1	generic	Phenylephrine Hydrochloride And Cocoa Butter
PHENYLEPHRINE HYDROCHLORIDE AND FAT, HARD	3	generic	Phenylephrine Hydrochloride And Fat, Hard
PHENYLEPHRINE HYDROCHLORIDE AND WITCH HAZEL	1	generic	Phenylephrine Hydrochloride And Witch Hazel
Phenylephrine Hydrochloride Ophthalmic	2	brand	Phenylephrine Hydrochloride Ophthalmic
PHENYLEPHRINE HYDROCHLORIDE, HARD FAT	1	generic	Phenylephrine Hydrochloride, Hard Fat
PHENYLEPHRINE HYDROCHLORIDE, HYDROGENATE PALM KERNEL OIL	1	generic	Phenylephrine Hydrochloride, Hydrogenate Palm Kernel Oil
PHENYLEPHRINE HYDROCHLORIDE, WITCH HAZEL	1	generic	Phenylephrine Hydrochloride, Witch Hazel
PHENYTOIN	16	generic	Phenytoin
PHENYTOIN SODIUM	13	generic	Phenytoin Sodium
Phisohex	2	brand	Phisohex
PHOENIX HEALTHCARE SOLUTIONS, LLC	5	brand	Phoenix Healthcare Solutions, Llc
Phos-Flur	1	brand	Phos-Flur
Phos-Flur Ortho Defense	3	brand	Phos-Flur Ortho Defense
PHOSPHORATED CARBOHYDRATE	4	generic	Phosphorated Carbohydrate
PHOSPHORICUM ACIDUM	2	generic	Phosphoricum Acidum
PHOSPHORUS	1	generic	Phosphorus
Photocil	3	brand	Photocil
PHOTOFRIN	1	brand	Photofrin
PHYLLIS GOLDEN HAIR	1	brand	Phyllis Golden Hair
PHYLLIS GOLDEN HAIR ESSENCE	1	brand	Phyllis Golden Hair Essence
Physician EZ Use Joint Tunnel and Trigger Kit	1	brand	Physician Ez Use Joint Tunnel And Trigger Kit
PHYSICIANS EZ USE B-12 COMPLIANCE	1	generic	Physicians Ez Use B-12 Compliance
Physicians EZ Use M-pred	1	brand	Physicians Ez Use M-Pred
PhysiciansCare Ophthalmic Solution Eyewash	4	brand	Physicianscare Ophthalmic Solution Eyewash
Physiolyte	1	brand	Physiolyte
Physiosol	1	brand	Physiosol
PHYSOSTIGMINE SALICYLATE	2	generic	Physostigmine Salicylate
PHYTOGENIC INFINITE FOUNDATION SPF20 NB21	1	brand	Phytogenic Infinite Foundation Spf20 Nb21
PHYTOGENIC INFINITE FOUNDATION SPF20 NB23	1	brand	Phytogenic Infinite Foundation Spf20 Nb23
PHYTOGENIC INFINITE FOUNDATION SPF20 NB25	1	brand	Phytogenic Infinite Foundation Spf20 Nb25
PHYTOGENIC INFINITE MAKEUP BASE SPF15 GREEN	1	brand	Phytogenic Infinite Makeup Base Spf15 Green
PHYTOGENIC INFINITE MAKEUP BASE SPF15 PURPLE	1	brand	Phytogenic Infinite Makeup Base Spf15 Purple
PHYTOGENIC INFINITE POWDER FOUNDATION SPF20 NB21	1	brand	Phytogenic Infinite Powder Foundation Spf20 Nb21
PHYTOGENIC INFINITE POWDER FOUNDATION SPF20 NB23	1	brand	Phytogenic Infinite Powder Foundation Spf20 Nb23
PHYTOGENIC INFINITE POWDER FOUNDATION SPF20 NB25	1	brand	Phytogenic Infinite Powder Foundation Spf20 Nb25
PHYTOGENIC INFINITE POWDER FOUNDATION SPF20 RB23	1	brand	Phytogenic Infinite Powder Foundation Spf20 Rb23
PHYTOLACCA AMERICANA ROOT	1	generic	Phytolacca Americana Root
Phytolacca Decandra	1	brand	Phytolacca Decandra
PHYTOLACCA DECANDRA, GNAPHALIUM POLYCEPHALUM, COLOCYNTHIS, GELSEMIUM SEMPERVIRENS	3	generic	Phytolacca Decandra, Gnaphalium Polycephalum, Colocynthis, Gelsemium Sempervirens
PHYTOLACCA DECANDRA, GNAPHALIUM POLYCEPHALUM, COLOCYNTHIS, GELSEMIUM SEMPERVIRENS,	2	generic	Phytolacca Decandra, Gnaphalium Polycephalum, Colocynthis, Gelsemium Sempervirens,
PHYTOLACCA DECANDRA, SYMPHYTUM OFFICINALE, BELLIS PERENNIS, LEDUM PALUSTRE, RUTA GRAVEOLENS, MAGNESIA PHOSPHORICA, SILICEA	2	generic	Phytolacca Decandra, Symphytum Officinale, Bellis Perennis, Ledum Palustre, Ruta Graveolens, Magnesia Phosphorica, Silicea
PHYTOLACCA DECANDRA, SYMPHYTUM OFFICINALE, BELLIS PERENNIS, LEDUM PALUSTRE, RUTA GRAVEOLENS, MAGNESIA PHOSPHORICA, SILICEA,	4	generic	Phytolacca Decandra, Symphytum Officinale, Bellis Perennis, Ledum Palustre, Ruta Graveolens, Magnesia Phosphorica, Silicea,
PHYTOLACCA DECANDRA, THUJA OCCIDENTALIS	2	generic	Phytolacca Decandra, Thuja Occidentalis
PHYTONADIONE	2	brand	Phytonadione
Pi Yen Chin	1	brand	Pi Yen Chin
PILOCARPINE HYDROCHLORIDE	2	brand	Pilocarpine Hydrochloride
PINDOLOL	4	generic	Pindolol
PINE NEEDLE OIL (PINUS SYLVESTRIS) SAMBUCUS NIGRA FLOWER CALENDULA OFFICINALIS FLOWER ECHINACEA ANGUSTIFOLIA	2	generic	Pine Needle Oil (Pinus Sylvestris) Sambucus Nigra Flower Calendula Officinalis Flower Echinacea Angustifolia
Pine Salt	1	brand	Pine Salt
Pink Eye	1	brand	Pink Eye
Pink Eye Relief	1	brand	Pink Eye Relief
Pink Eye Remedy	1	brand	Pink Eye Remedy
PIOGLITAZONE	15	generic	Pioglitazone
PIOGLITAZONE AND METFORMIN HYDROCHLORIDE	4	generic	Pioglitazone And Metformin Hydrochloride
PIOGLITAZONE HYDROCHLORIDE	1	generic	Pioglitazone Hydrochloride
PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDE	4	generic	Pioglitazone Hydrochloride And Metformin Hydrochloride
PIPERACILLIN AND TAZOBACTAM	9	generic	Piperacillin And Tazobactam
PIPERACILLIN SODIUM AND TAZOBACTAM SODIUM	6	generic	Piperacillin Sodium And Tazobactam Sodium
PIPERACILLIN SODIUM, TAZOBACTAM SODIUM	1	generic	Piperacillin Sodium, Tazobactam Sodium
PIPERACILLIN SODIUM,TAZOBACTAM SODIUM	4	generic	Piperacillin Sodium,Tazobactam Sodium
Piperacillin, Tazobactam	1	brand	Piperacillin, Tazobactam
PIPERONLY BUTOXIDE, PYRETHRUM EXTRACT	2	generic	Piperonly Butoxide, Pyrethrum Extract
PIPERONYL BUTOXIDE, PYRETHRUM EXTRACT	28	generic	Piperonyl Butoxide, Pyrethrum Extract
PIRBUTEROL ACETATE	1	generic	Pirbuterol Acetate
PIROXICAM	24	generic	Piroxicam
Pitocin	2	brand	Pitocin
Pitressin	2	brand	Pitressin
Placenta Compositum	1	brand	Placenta Compositum
PLAGENTRA BABY	2	brand	Plagentra Baby
PLAGENTRA INTENSIVE CARE	2	brand	Plagentra Intensive Care
PLAGENTRA MOTHERS BELLY	3	brand	Plagentra Mothers Belly
Plak Smacker	7	brand	Plak Smacker
PLAQUE HD ANTICAVITY BERRY BUBBLE GUM FLAVOR Professional Plaque-Identifying	1	brand	Plaque Hd Anticavity Berry Bubble Gum Flavor Professional Plaque-Identifying
PLAQUE HD ANTICAVITY FRESH MINT FLAVOR Professional Plaque-Identifying	1	brand	Plaque Hd Anticavity Fresh Mint Flavor Professional Plaque-Identifying
PLATELET ADDITIVE 3	1	generic	Platelet Additive 3
Platinol	1	brand	Platinol
Platinol-AQ	1	brand	Platinol-Aq
PLATINUM GRAPE CELL EMULSION	1	brand	Platinum Grape Cell Emulsion
PLAVIX	1	brand	Plavix
Plegisol	1	brand	Plegisol
Plegridy Pen	1	brand	Plegridy Pen
Pleo Alb	1	brand	Pleo Alb
Pleo Ex	1	brand	Pleo Ex
Pleo Fort	1	brand	Pleo Fort
Pleo Lat	1	brand	Pleo Lat
Pleo Leptu	1	brand	Pleo Leptu
Pleo Muc	2	brand	Pleo Muc
Pleo Mucedo	1	brand	Pleo Mucedo
Pleo Nig	1	brand	Pleo Nig
Pleo Not	1	brand	Pleo Not
Pleo Pef	1	brand	Pleo Pef
Pleo Pin	1	brand	Pleo Pin
Pleo Quent	1	brand	Pleo Quent
Pleo Reb	1	brand	Pleo Reb
Pleo Rec	1	brand	Pleo Rec
Pleo Rub	1	brand	Pleo Rub
PLEO THYM	1	brand	Pleo Thym
Pleo Usti	1	brand	Pleo Usti
Pleo Ut	1	brand	Pleo Ut
Pleo Ut S	1	brand	Pleo Ut S
PLERIXAFOR	2	generic	Plerixafor
Plexion	4	brand	Plexion
Plum Duo Emergency Eyewash	1	brand	Plum Duo Emergency Eyewash
Plum Duo Emergency Eyewash pH Neutralizing	1	brand	Plum Duo Emergency Eyewash Ph Neutralizing
Plum Emergency Eyewash	1	brand	Plum Emergency Eyewash
Plum Emergency Eyewash pH Neutralizing	1	brand	Plum Emergency Eyewash Ph Neutralizing
Plus Plus White Smokers Whitening	1	brand	Plus Plus White Smokers Whitening
Plus White Coffee Drinkers Whitening	1	brand	Plus White Coffee Drinkers Whitening
Plus White With Peroxide	1	brand	Plus White With Peroxide
Plus White Xtra	1	brand	Plus White Xtra
Plus White Xtra Whitening	1	brand	Plus White Xtra Whitening
PMS Relief	1	brand	Pms Relief
PODOFILOX	5	generic	Podofilox
POISON TREATMENT ADSORBENT SUSPENSION	3	generic	Poison Treatment Adsorbent Suspension
Polibar ACB	2	brand	Polibar Acb
POLIDOCANOL	1	generic	Polidocanol
POLIFEPROSAN 20 WITH CARMUSTINE IMPLANT	1	generic	Polifeprosan 20 With Carmustine Implant
Pollens - Weeds and Garden Plants, Short Ragweed, Ambrosia artemisiifolia	1	brand	Pollens - Weeds And Garden Plants, Short Ragweed, Ambrosia Artemisiifolia
Polocaine	1	brand	Polocaine
Polocaine-MPF	1	brand	Polocaine-Mpf
POLOXAMER 188	1	generic	Poloxamer 188
POLOXAMER 407	3	generic	Poloxamer 407
Poly Bacitracin	2	brand	Poly Bacitracin
POLYCIN	1	brand	Polycin
POLYDATIN	3	generic	Polydatin
POLYETHLENE GLYCOL 400 TETRAHYDROZOLINE HCL	2	generic	Polyethlene Glycol 400 Tetrahydrozoline Hcl
POLYETHYLEN GLYCOL AND PROPYLENE GLOYCOL	1	generic	Polyethylen Glycol And Propylene Gloycol
POLYETHYLENE GLOYCOL, PROPYLENE GLYCOL	2	generic	Polyethylene Gloycol, Propylene Glycol
POLYETHYLENE GLYCOL (3350)	3	generic	Polyethylene Glycol (3350)
POLYETHYLENE GLYCOL 0.4% AND PROPYLENE GLYCOL 0.3%	2	generic	Polyethylene Glycol 0.4% And Propylene Glycol 0.3%
POLYETHYLENE GLYCOL 3350	1	generic	Polyethylene Glycol 3350
POLYETHYLENE GLYCOL 3350, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM BICARBONATE, AND SODIUM SULFATE	1	generic	Polyethylene Glycol 3350, Sodium Chloride, Potassium Chloride, Sodium Bicarbonate, And Sodium Sulfate
POLYETHYLENE GLYCOL 3350, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM BICARBONATE, AND SODIUM SULFATE ANHYDROUS	1	generic	Polyethylene Glycol 3350, Sodium Chloride, Potassium Chloride, Sodium Bicarbonate, And Sodium Sulfate Anhydrous
POLYETHYLENE GLYCOL 3350, SODIUM CHLORIDE, SODIUM BICARBONATE AND POTASSIUM CHLORIDE	1	generic	Polyethylene Glycol 3350, Sodium Chloride, Sodium Bicarbonate And Potassium Chloride
POLYETHYLENE GLYCOL 400	9	generic	Polyethylene Glycol 400
POLYETHYLENE GLYCOL 400 AND PROPYLENE GLYCOL	9	generic	Polyethylene Glycol 400 And Propylene Glycol
POLYETHYLENE GLYCOL 400 PROPYLENE GLYCOL	1	generic	Polyethylene Glycol 400 Propylene Glycol
POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL	5	generic	Polyethylene Glycol 400, Propylene Glycol
POLYETHYLENE GLYCOL, PROPYLENE GLYCOL	9	generic	Polyethylene Glycol, Propylene Glycol
POLYETHYLENE GLYOCOL 3350, SODIUM CHLORIDE, SODIUM BICARBONATE AND POTASSIUM CHLORIDE	1	generic	Polyethylene Glyocol 3350, Sodium Chloride, Sodium Bicarbonate And Potassium Chloride
POLYMYXIN B	2	generic	Polymyxin B
POLYMYXIN B SULFATE	2	generic	Polymyxin B Sulfate
POLYMYXIN B SULFATE AND TRIMETHOPRIM	3	generic	Polymyxin B Sulfate And Trimethoprim
POLYMYXIN B SULFATE AND TRIMETHOPRIM SULFATE	5	generic	Polymyxin B Sulfate And Trimethoprim Sulfate
POLYMYXIN B SULFATE, TRIMETHOPRIM SULFATE	4	generic	Polymyxin B Sulfate, Trimethoprim Sulfate
POLYQUATERNIUM-10 (400 CPS AT 2%)	2	generic	Polyquaternium-10 (400 Cps At 2%)
POLYSORBATE 80	1	generic	Polysorbate 80
Polytrim	2	brand	Polytrim
POLYVINYL ALCOHOL	11	generic	Polyvinyl Alcohol
POLYVINYL ALCOHOL AND POLYEHTYLENE GLYCOL 400	1	generic	Polyvinyl Alcohol And Polyehtylene Glycol 400
POLYVINYL ALCOHOL AND POVIDONE	5	generic	Polyvinyl Alcohol And Povidone
POLYVINYL ALCOHOL AND POVIDONE AND TETRAHYDROZOLINE HYDROCHLORIDE	2	generic	Polyvinyl Alcohol And Povidone And Tetrahydrozoline Hydrochloride
POLYVINYL ALCOHOL, POVIDONE	4	generic	Polyvinyl Alcohol, Povidone
Pomegranate Antibacterial Foaming Hand Wash	6	brand	Pomegranate Antibacterial Foaming Hand Wash
Pomegranate Rose Hand Sanitizer	2	brand	Pomegranate Rose Hand Sanitizer
PORACTANT ALFA	1	generic	Poractant Alfa
PORFIMER SODIUM	1	generic	Porfimer Sodium
Positive Skin Test Control - Histamine	1	brand	Positive Skin Test Control - Histamine
POTASSIUM ACETATE	6	generic	Potassium Acetate
POTASSIUM BICARBONATE	7	generic	Potassium Bicarbonate
POTASSIUM CARBONATE	1	generic	Potassium Carbonate
POTASSIUM CATION	6	generic	Potassium Cation
POTASSIUM CHLORIDE	1	brand	Potassium Chloride
POTASSIUM CHLORIDE AND DEXTROSE MONOHYDRATE	1	generic	Potassium Chloride And Dextrose Monohydrate
POTASSIUM CHLORIDE AND SODIUM CHLORIDE	1	generic	Potassium Chloride And Sodium Chloride
POTASSIUM CHLORIDE IN DEXTROSE	1	brand	Potassium Chloride In Dextrose
Potassium Chloride in Dextrose and Sodium Chloride	3	brand	Potassium Chloride In Dextrose And Sodium Chloride
Potassium Chloride in Lactated Ringers and Dextrose	2	brand	Potassium Chloride In Lactated Ringers And Dextrose
POTASSIUM CHLORIDE IN SODIUM CHLORIDE	1	brand	Potassium Chloride In Sodium Chloride
POTASSIUM CHLORIDE, DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE	1	generic	Potassium Chloride, Dextrose Monohydrate And Sodium Chloride
POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, AND MAGNESIUM CHLORIDE	1	generic	Potassium Chloride, Sodium Chloride, Calcium Chloride, And Magnesium Chloride
POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, SODIUM LACTATE, AND DEXTROSE MONOHYDRATE	1	generic	Potassium Chloride, Sodium Chloride, Calcium Chloride, Sodium Lactate, And Dextrose Monohydrate
POTASSIUM CITRATE	8	generic	Potassium Citrate
POTASSIUM CITRATE AND CITRIC ACID	3	generic	Potassium Citrate And Citric Acid
POTASSIUM DICHROMATE	2	generic	Potassium Dichromate
POTASSIUM IODIDE	1	generic	Potassium Iodide
POTASSIUM NIRTATE AND SODIUM FLUORIDE	1	generic	Potassium Nirtate And Sodium Fluoride
POTASSIUM NITRATE	2	generic	Potassium Nitrate
POTASSIUM NITRATE AND SODIUM FLORIDE	1	generic	Potassium Nitrate And Sodium Floride
POTASSIUM NITRATE AND SODIUM FLUORIDE	21	generic	Potassium Nitrate And Sodium Fluoride
POTASSIUM NITRATE, SODIUM FLUORIDE	2	generic	Potassium Nitrate, Sodium Fluoride
POTASSIUM NITRATE, SODIUM MONOFLUOROPHOSPHATE	2	generic	Potassium Nitrate, Sodium Monofluorophosphate
POTASSIUM PHOSPHATE, MONOBASIC AND POTASSIUM PHOSPHATE, DIBASIC	4	generic	Potassium Phosphate, Monobasic And Potassium Phosphate, Dibasic
Potassium Phosphates	3	brand	Potassium Phosphates
POVIDINE IODINE	9	generic	Povidine Iodine
POVIDONE	2	generic	Povidone
POVIDONE IODINE	1	generic	Povidone Iodine
POVIDONE IODINE 10%	4	generic	Povidone Iodine 10%
Povidone Iodine Impregnated	2	brand	Povidone Iodine Impregnated
Povidone Iodine Plus	2	brand	Povidone Iodine Plus
Povidone Iodine Prep Pad	1	brand	Povidone Iodine Prep Pad
Povidone Iodine Scrub	2	brand	Povidone Iodine Scrub
Povidone Iodine Surgical Scrub	3	brand	Povidone Iodine Surgical Scrub
POVIDONE IODINE SWABSTICS ANTISEPTIC GERMICIDE	2	brand	Povidone Iodine Swabstics Antiseptic Germicide
POVIDONE-IODINE	2	brand	Povidone-Iodine
Povidone-Iodine Prep	2	brand	Povidone-Iodine Prep
Povidone-Iodine Prep Pad	2	brand	Povidone-Iodine Prep Pad
Povidone-Iodine Prep Swabstick	1	brand	Povidone-Iodine Prep Swabstick
Povidone-Iodine Prep Swabsticks	1	brand	Povidone-Iodine Prep Swabsticks
Povidone-Iodine Solution	1	brand	Povidone-Iodine Solution
POVIDONE/POLYVINYL ALCOHOL	1	generic	Povidone/Polyvinyl Alcohol
POWER WHITE 7 EVERYDAY WHITENING	1	brand	Power White 7 Everyday Whitening
POWER WHITE 7 SENSITIVE	1	brand	Power White 7 Sensitive
POWER WHITE DEEP STAIN ERASER	1	brand	Power White Deep Stain Eraser
PRADAXA	1	brand	Pradaxa
PRALATREXATE	1	generic	Pralatrexate
PRALIDOXIME CHLORIDE	1	generic	Pralidoxime Chloride
PRAMIPEXOLE DIHYDROCHLORIDE	33	generic	Pramipexole Dihydrochloride
PRAMLINTIDE ACETATE	1	generic	Pramlintide Acetate
PRAMOSONE	2	brand	Pramosone
PRAMOXINE HCL / HYDROCORTISONE / CHLOROXYLENOL	2	generic	Pramoxine Hcl / Hydrocortisone / Chloroxylenol
PRAMOXINE HCL, ZINC ACETATE	5	generic	Pramoxine Hcl, Zinc Acetate
PRAMOXINE HYDROCHLORIDE	3	generic	Pramoxine Hydrochloride
PRAMOXINE HYDROCHLORIDE AND ZINC ACETATE	3	generic	Pramoxine Hydrochloride And Zinc Acetate
PRAMOXINE HYDROCHLORIDE, GLYCERIN, PHENYLEPHRINE HYDROCHLORIDE AND PETROLATUM	2	generic	Pramoxine Hydrochloride, Glycerin, Phenylephrine Hydrochloride And Petrolatum
Pramoxine-HC	1	brand	Pramoxine-Hc
PRASUGREL HYDROCHLORIDE	3	generic	Prasugrel Hydrochloride
PRAVASTATIN SODIUM	14	brand	Pravastatin Sodium
PRAZOSIN HYDROCHLORIDE	16	generic	Prazosin Hydrochloride
PRE-PEN	1	brand	Pre-Pen
Precedex	1	brand	Precedex
PRED FORTE	3	brand	Pred Forte
PRED MILD	3	brand	Pred Mild
PRED-G	2	brand	Pred-G
Predator	3	brand	Predator
PREDNICARBATE	7	generic	Prednicarbate
PREDNISOLONE	16	generic	Prednisolone
PREDNISOLONE ACETATE	14	generic	Prednisolone Acetate
PREDNISOLONE SODIUM PHOSPHATE	2	brand	Prednisolone Sodium Phosphate
PREDNISONE	145	generic	Prednisone
PREFERRED PLUS	1	generic	Preferred Plus
Preferred Plus 12 Hour Nasal Extra Moisturizing	1	brand	Preferred Plus 12 Hour Nasal Extra Moisturizing
Preferred Plus 12 Hour Nasal Original	1	brand	Preferred Plus 12 Hour Nasal Original
Preferred Plus Hemorrhoid	1	brand	Preferred Plus Hemorrhoid
Preferred Plus Hemorrhoidal	1	brand	Preferred Plus Hemorrhoidal
Preferred Plus Nicotine Polacrilex Gum, Original Flavor	1	brand	Preferred Plus Nicotine Polacrilex Gum, Original Flavor
PREGABALIN	42	generic	Pregabalin
Premarin	1	brand	Premarin
Premarin Vaginal	1	brand	Premarin Vaginal
Premasol - sulfite-free (Amino Acid)	1	brand	Premasol - Sulfite-Free (Amino Acid)
Premier Value Adult Glycerin Laxative	3	brand	Premier Value Adult Glycerin Laxative
PREMIER VALUE ADVANCED EYE DROPS	1	brand	Premier Value Advanced Eye Drops
Premier Value Bisacodyl Laxative	1	brand	Premier Value Bisacodyl Laxative
Premier Value Cavity Protection Mint	1	brand	Premier Value Cavity Protection Mint
PREMIER VALUE EYE AC	1	brand	Premier Value Eye Ac
PREMIER VALUE EYE DROPS MT	1	brand	Premier Value Eye Drops Mt
Premier Value Hemorrhoidal	1	brand	Premier Value Hemorrhoidal
PREMIER VALUE MEDICATED PADS	1	brand	Premier Value Medicated Pads
Premier Value Miconazole 3	1	brand	Premier Value Miconazole 3
PREMIER VALUE ORIGINAL	1	brand	Premier Value Original
Premier Value Pediatric Glycerin Laxative	1	brand	Premier Value Pediatric Glycerin Laxative
Premier Value Sterile Eye Drops	1	brand	Premier Value Sterile Eye Drops
Premium Gold Mineral BB	2	brand	Premium Gold Mineral Bb
PREMIUM HAND SANITIZER CUCUMBER GREEN TEA	2	brand	Premium Hand Sanitizer Cucumber Green Tea
PREMIUM HAND SANITIZER NECTARINE MINT	2	brand	Premium Hand Sanitizer Nectarine Mint
Premium Whitening	1	brand	Premium Whitening
PREPARATION H	1	brand	Preparation H
Prepidil	1	brand	Prepidil
Prevage Anti Aging Moisture Broad Spectrum Sunscreen SPF 30	2	brand	Prevage Anti Aging Moisture Broad Spectrum Sunscreen Spf 30
Prevail Hand Sanitizer Lemongrass	2	brand	Prevail Hand Sanitizer Lemongrass
Prevail Pomegranate Hand Sanitizer	2	brand	Prevail Pomegranate Hand Sanitizer
Prevantics Maxi Swabstick	2	brand	Prevantics Maxi Swabstick
Prevantics Swab	2	brand	Prevantics Swab
Prevantics swabstick	3	brand	Prevantics Swabstick
Prevent	2	brand	Prevent
PreviDent	2	brand	Prevident
PreviDent 5000 Booster	2	brand	Prevident 5000 Booster
PreviDent 5000 Dry Mouth	1	brand	Prevident 5000 Dry Mouth
PreviDent 5000 Enamel Protect	1	brand	Prevident 5000 Enamel Protect
PreviDent 5000 Enhanced with Calcium Mint	2	brand	Prevident 5000 Enhanced With Calcium Mint
PreviDent 5000 Plus Fruitastic	1	brand	Prevident 5000 Plus Fruitastic
PreviDent 5000 Plus Spearmint	1	brand	Prevident 5000 Plus Spearmint
PreviDent 5000 Sensitive	1	brand	Prevident 5000 Sensitive
PrevinC	1	brand	Previnc
Prialt	1	brand	Prialt
PRILOCAINE AND EPINEPHRINE	1	generic	Prilocaine And Epinephrine
PRILOCAINE HYDROCHLORIDE	1	generic	Prilocaine Hydrochloride
PRILOCAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE	1	generic	Prilocaine Hydrochloride And Epinephrine Bitartrate
Prilocaine Hydrochloride with Epinephrine	1	brand	Prilocaine Hydrochloride With Epinephrine
Prilosec	1	brand	Prilosec
PRIMAQUINE PHOSPHATE	4	generic	Primaquine Phosphate
PRIMAXIN IV	2	brand	Primaxin Iv
Primer	2	brand	Primer
PRIMIDONE	18	generic	Primidone
Prinivil 	1	brand	Prinivil 
PrismaSol BGK2/0	2	brand	Prismasol Bgk2/0
Privine	2	brand	Privine
Pro Advantage Antibacterial	2	brand	Pro Advantage Antibacterial
Pro Advantage Instant Hand Sanitizer	2	brand	Pro Advantage Instant Hand Sanitizer
Pro-Den Rx	5	brand	Pro-Den Rx
Pro-Tect SPF 20 Sunscreen Broad-Spectrum UVA/UVB Sunscreen	1	brand	Pro-Tect Spf 20 Sunscreen Broad-Spectrum Uva/Uvb Sunscreen
Pro-Tect SPF 30 Sunscreen Broad-Spectrum UVA/UVB Sunscreen	1	brand	Pro-Tect Spf 30 Sunscreen Broad-Spectrum Uva/Uvb Sunscreen
Proactiv Renewing Cleanser	2	brand	Proactiv Renewing Cleanser
Proactiv Repairing Treatment	2	brand	Proactiv Repairing Treatment
Proactiv Sheer Tint Moisture SPF 15	2	brand	Proactiv Sheer Tint Moisture Spf 15
Proactiv Solution Daily Protection Plus Sunscreen SPF 30	2	brand	Proactiv Solution Daily Protection Plus Sunscreen Spf 30
Proactiv Solution Renewing Cleanser	2	brand	Proactiv Solution Renewing Cleanser
Proactiv Solution Repairing Treatment	2	brand	Proactiv Solution Repairing Treatment
Proactiv Soothing Scalp Treatment Antidandruff	2	brand	Proactiv Soothing Scalp Treatment Antidandruff
PROAIR HFA	4	brand	Proair Hfa
PROAIRHFA HFA	3	brand	Proairhfa Hfa
PROBENECID	8	generic	Probenecid
PROCAINAMIDE HYDROCHLORIDE	4	generic	Procainamide Hydrochloride
ProcalAmine	1	brand	Procalamine
Prochieve	1	brand	Prochieve
PROCHLORPERAZINE	4	generic	Prochlorperazine
PROCHLORPERAZINE EDISYLATE	5	generic	Prochlorperazine Edisylate
PROCHLORPERAZINE MALEATE	31	generic	Prochlorperazine Maleate
ProCoMycin	2	brand	Procomycin
PROCRIT	2	brand	Procrit
Proctocort	1	brand	Proctocort
Proctofoam	1	brand	Proctofoam
Proctofoam HC	2	brand	Proctofoam Hc
PROCTOFOAM NS	1	brand	Proctofoam Ns
Proctozone HC	3	brand	Proctozone Hc
procure	2	brand	Procure
PROFESSIONAL WHITENING SYSTEM WHITENING	1	brand	Professional Whitening System Whitening
Proforce Commercial Products	2	brand	Proforce Commercial Products
PROGESTERONE	1	brand	Progesterone
PROGESTERONE,	3	generic	Progesterone,
ProHance	2	brand	Prohance
Prolensa	1	brand	Prolensa
PROLEUKIN	1	brand	Proleukin
Prometh with Codeine	4	brand	Prometh With Codeine
Promethazine	1	brand	Promethazine
PROMETHAZINE DM	4	brand	Promethazine Dm
PROMETHAZINE HCL	3	generic	Promethazine Hcl
PROMETHAZINE HYDROCHLORIDE	20	generic	Promethazine Hydrochloride
PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE	1	brand	Promethazine Hydrochloride And Codeine Phosphate
PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE	4	generic	Promethazine Hydrochloride And Dextromethorphan Hydrobromide
PROMETHAZINE HYDROCHLORIDE AND PHENYLEPHRINE HYDROCHLORIDE	3	generic	Promethazine Hydrochloride And Phenylephrine Hydrochloride
PROMETHAZINE HYDROCHLORIDE PHENYLEPHRINE HYDROCHLORIDE AND CODEINE PHOSPHATE	1	brand	Promethazine Hydrochloride Phenylephrine Hydrochloride And Codeine Phosphate
PROMETHAZINE VC WITH CODEINE	1	brand	Promethazine Vc With Codeine
PROMETHAZINE WITH CODEINE	1	brand	Promethazine With Codeine
Promethazine With Codeine Cough	1	brand	Promethazine With Codeine Cough
PROMETHAZINEHYDROCHLORIDE AND PHENYLEPHRINE HYDROCHLORIDE	5	generic	Promethazinehydrochloride And Phenylephrine Hydrochloride
PROMETHEGAN	6	brand	Promethegan
Promolaxin	4	brand	Promolaxin
PROPAFENONE HYDROCHLORIDE	12	generic	Propafenone Hydrochloride
PROPARACAINE HYDROCHLORIDE	9	generic	Proparacaine Hydrochloride
PROPIONIBACTERIUM ACNES	4	generic	Propionibacterium Acnes
PROPIONIBACTERIUM AVIDUM	1	generic	Propionibacterium Avidum
PROPOFOL	1	brand	Propofol
PROPOLIS	5	generic	Propolis
PROPOLIS 200g	1	brand	Propolis 200G
